,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User name
0,0.0,Fri Jun 08 21:32:33 +0000 2018,0.0,1.0,0.0,"Actress Emma Thompson becomes a dame, with Liverpool legend Kenny Dalglish knighted in Queen's Birthday Honours… https://t.co/4R9Ij9tjlc",1,@BBCBreaking
1,-0.4215,Fri Jun 08 19:58:46 +0000 2018,0.203,0.676,0.122,"American special forces soldier killed in firefight with jihadist militants in Somalia, US military officials say https://t.co/i428JIXQZp",2,@BBCBreaking
2,0.0,Fri Jun 08 18:35:39 +0000 2018,0.0,1.0,0.0,"World leaders assemble for 'family photo' at G7 summit in Canada 

https://t.co/9TJ4sS5Kev https://t.co/ZWUrmO3cV5",3,@BBCBreaking
3,-0.8176,Fri Jun 08 16:57:32 +0000 2018,0.362,0.638,0.0,"Man charged with manslaughter of 100-year-old woman, who died after her neck was broken in bag theft https://t.co/DJ3TaRf5HB",4,@BBCBreaking
4,-0.4767,Fri Jun 08 14:37:52 +0000 2018,0.192,0.734,0.073,Landmark conviction against DR Congo warlord Jean-Pierre Bemba is overturned by International Criminal Court https://t.co/4AOSFC7tTj,5,@BBCBreaking
5,-0.6486,Fri Jun 08 11:31:14 +0000 2018,0.17,0.83,0.0,"US celebrity chef and writer Anthony Bourdain found dead in French hotel room at age of 61, his employer CNN says https://t.co/Rp7XdLkAwb",6,@BBCBreaking
6,0.0,Thu Jun 07 16:03:45 +0000 2018,0.0,1.0,0.0,RT @BBCSport: The Premier League's executive chairman Richard Scudamore is to stand down by the end of 2018 after nearly 20 years in the ro…,7,@BBCBreaking
7,-0.5859,Thu Jun 07 11:11:29 +0000 2018,0.242,0.758,0.0,"Met Police investigating use of ""stay put” policy by London Fire Brigade during Grenfell Tower fire https://t.co/XyWshIu1S3",8,@BBCBreaking
8,-0.8225,Thu Jun 07 11:04:17 +0000 2018,0.312,0.64,0.048,Swedish court sentences Uzbek Rakhmat Akilov to life over murder of five people in 2017 Stockholm lorry attack https://t.co/RnMYjyvpMF,9,@BBCBreaking
9,0.2263,Thu Jun 07 08:52:10 +0000 2018,0.133,0.69,0.177,Human rights campaigners lose UK Supreme Court appeal over legality of Northern Ireland's abortion law https://t.co/dWihoH5Emy,10,@BBCBreaking
